approach,scenario,seed,final_avg_acc_taw,method_type,bic,lamb,T,percentage,val_exemplar_percentage,lwf,integral,damping,freezing,after,eeil,factor,lr_finetuning_factor,finetuning,outputs,ewc,lwm,beta,gamma,icarl,mas,walk,alpha,num_ex_per_class
path_integral,(5/20),0,0.517,regularization+ kd/replay,,0.15,,,,,yes,0.2,,,,,,,,,,,,,,,,20
lwm,(5/40-15),0,0.5613,regularization+ kd/replay,,,,,,,,,,,,,,,,,yes,1,1,,,,,20
r_walk,(5/40-15),0,0.4954,regularization+ kd/replay,,5,,,,,,0.1,,,,,,,,,,,,,,yes,0.5,20
path_integral,(5/40-15),0,0.5419,regularization+ kd/replay,,0.15,,,,,yes,0.2,,,,,,,,,,,,,,,,20
lwf,(5/40-15),0,0.496,regularization,,2,4,,,yes,,,,,,,,,,,,,,,,,,0
lwm,(5/40-15),0,0.557,regularization+ kd/replay,,,,,,,,,,,,,,,,,yes,2,2,,,,,20
r_walk,(5/20),0,0.4748,regularization+ kd/replay,,1,,,,,,0.1,,,,,,,,,,,,,,yes,0.5,20
lwf,(5/20),0,0.465,regularization,,0.5,2,,,yes,,,,,,,,,,,,,,,,,,0
lwf,(5/20),0,0.4493,regularization,,1,4,,,yes,,,,,,,,,,,,,,,,,,0
r_walk,(5/20),0,0.4665,regularization+ kd/replay,,1,,,,,,0.1,,,,,,,,,,,,,,yes,0.3,20
lwf,(5/40-15),0,0.5459,regularization,,2,2,,,yes,,,,,,,,,,,,,,,,,,0
lwm,(5/20),0,0.5346,regularization+ kd/replay,,,,,,,,,,,,,,,,,yes,3,1,,,,,20
path_integral,(5/20),0,0.5059,regularization+ kd/replay,,0.2,,,,,yes,0.1,,,,,,,,,,,,,,,,20
lwf,(5/40-15),0,0.5249,regularization,,3,3,,,yes,,,,,,,,,,,,,,,,,,0
lwf,(5/20),0,0.4931,regularization,,1,2,,,yes,,,,,,,,,,,,,,,,,,0
lwf,(5/20),0,0.4125,regularization,,0.5,4,,,yes,,,,,,,,,,,,,,,,,,0
ewc,(5/20),0,0.475,regularization+ kd/replay,,1000,,,,,,,,,,,,,,yes,,,,,,,0.5,20
